Capacity_ID,Date,Department_ID,Available_Employees,Available_Capacity_Hours,Max_OT_Hours,Capacity_Target
1,1/19/2025,5,297,1685,6,0.78
2,3/24/2025,3,348,3989,5,0.98
3,5/20/2025,7,405,4853,8,0.93
4,10/15/2026,7,432,5266,11,0.87
5,3/23/2026,4,143,860,12,0.77
6,10/28/2026,5,402,3851,16,0.79
7,4/19/2026,6,345,3196,9,0.76
8,8/24/2026,7,42,1520,5,0.79
9,1/7/2026,3,164,1422,12,0.87
10,1/15/2025,8,372,2628,8,0.97
11,9/4/2025,7,173,3613,5,0.91
12,2/13/2026,8,247,740,13,0.77
13,4/18/2025,6,298,2950,17,0.84
14,5/20/2025,6,89,5323,9,0.89
15,6/13/2025,1,387,5661,16,0.81
16,10/7/2026,6,453,1500,8,0.81
17,10/24/2026,8,233,4044,6,0.78
18,4/29/2026,4,217,5579,5,0.82
19,12/12/2026,3,309,2378,7,0.75
20,6/12/2025,10,499,5644,9,0.87
21,2/6/2026,5,203,1314,9,0.86
22,1/17/2026,2,26,3813,14,0.77
23,4/22/2025,5,252,4901,18,0.84
24,12/10/2025,9,28,2190,10,0.79
25,8/18/2025,7,494,4817,11,0.81
26,10/23/2026,7,484,1965,5,0.76
27,2/21/2026,2,68,3668,6,0.93
28,2/28/2026,4,446,3681,17,0.83
29,9/2/2025,1,243,2463,17,0.77
30,9/10/2026,5,261,2491,13,0.77
31,5/4/2026,1,144,1829,10,0.84
32,2/3/2025,2,399,4977,19,0.9
33,11/9/2026,10,390,1105,15,0.77
34,4/19/2025,7,212,1139,10,0.98
35,6/7/2025,5,414,5469,16,0.92
36,12/6/2026,2,96,4171,15,0.81
37,4/28/2025,5,184,1664,17,0.97
38,8/30/2025,7,307,1435,9,1
39,6/21/2026,8,126,4583,7,0.92
40,10/19/2025,2,372,5134,11,0.85
41,10/5/2025,8,298,2752,17,0.87
42,1/30/2025,6,249,2898,19,0.86
43,8/18/2025,9,371,2877,5,0.97
44,5/23/2026,10,426,5949,14,0.85
45,2/7/2025,9,309,5357,14,0.88
46,8/3/2025,7,294,5390,19,0.83
47,1/10/2025,10,411,1850,8,0.77
48,6/12/2025,10,325,2909,14,0.78
49,8/8/2026,10,134,746,7,0.81
50,4/8/2025,9,196,2459,9,0.83
51,7/28/2026,2,458,4232,14,0.85
52,8/8/2025,2,337,1067,14,0.77
53,12/17/2025,9,341,1747,12,0.85
54,4/22/2026,2,165,918,10,0.92
55,8/15/2026,4,158,2777,8,0.87
56,7/18/2026,1,172,5987,16,0.94
57,10/1/2026,1,265,4657,12,0.81
58,1/13/2026,2,473,3362,16,0.91
59,4/29/2026,5,258,4978,11,0.86
60,6/26/2025,7,228,2057,7,0.82
61,7/30/2025,6,447,4136,14,0.84
62,12/12/2026,10,347,1537,11,0.91
63,10/7/2025,5,290,3939,18,0.98
64,10/28/2026,6,390,620,17,1
65,5/10/2025,6,83,5955,17,0.97
66,8/13/2026,3,150,1363,14,0.8
67,12/17/2025,3,433,4150,13,0.83
68,7/24/2025,6,419,1007,19,0.94
69,3/1/2025,2,404,2943,11,0.95
70,11/3/2026,5,431,5395,11,0.82
71,6/20/2025,9,389,950,8,0.9
72,2/8/2025,3,102,2250,17,0.78
73,3/13/2026,1,151,3623,18,0.98
74,11/10/2025,3,227,2185,12,0.93
75,3/8/2026,7,268,1512,17,0.91
76,12/21/2025,9,81,5401,11,0.88
77,5/20/2026,5,115,4690,16,0.82
78,5/23/2025,2,100,1514,9,0.8
79,9/15/2025,10,247,5001,10,0.84
80,4/7/2026,1,455,1512,12,0.9
81,5/24/2026,3,479,1922,10,0.79
82,11/28/2026,7,424,2708,16,0.87
83,6/23/2025,6,392,2263,7,0.84
84,8/19/2026,9,53,5328,13,0.84
85,6/4/2025,6,364,5749,13,0.75
86,6/14/2026,6,204,1012,15,0.77
87,4/12/2025,10,347,1707,5,0.78
88,1/22/2025,9,308,1765,12,0.82
89,12/30/2025,3,88,1706,5,0.76
90,4/25/2025,2,471,4555,19,0.94
91,7/23/2026,4,100,5694,15,0.91
92,8/25/2026,3,306,2839,14,0.92
93,1/5/2025,7,320,4083,17,0.83
94,5/21/2025,4,196,4727,7,0.8
95,4/24/2025,5,227,5421,8,0.87
96,12/22/2026,1,291,5459,6,0.8
97,10/27/2026,6,182,1632,10,0.82
98,9/22/2026,8,417,5019,7,0.95
99,3/23/2026,7,240,4234,13,0.77
100,12/1/2025,1,458,3673,15,0.99
101,9/14/2025,1,256,2699,11,0.95
102,9/25/2025,9,183,3947,9,0.94
103,3/17/2026,10,282,5050,5,0.85
104,6/21/2026,1,212,5215,19,0.79
105,2/21/2025,8,202,3208,14,0.89
106,3/9/2025,7,499,3475,14,0.91
107,8/4/2026,2,128,4124,5,0.88
108,11/7/2026,8,469,1750,10,0.75
109,10/22/2025,10,79,1857,13,0.78
110,12/15/2025,6,409,5914,19,0.92
111,12/2/2026,6,354,2121,9,0.76
112,10/11/2025,3,456,556,13,0.93
113,1/8/2026,2,329,3951,16,0.98
114,5/17/2025,3,202,3751,18,0.97
115,10/14/2025,5,29,1455,17,0.89
116,10/8/2026,9,250,4522,16,0.93
117,4/5/2025,10,295,5280,16,0.98
118,10/28/2026,3,495,5470,6,0.97
119,9/23/2025,4,228,5698,10,0.99
120,1/17/2026,1,179,1205,14,0.89
121,12/6/2026,2,164,5296,7,0.84
122,2/15/2025,1,92,4609,14,0.78
123,1/19/2026,7,255,4365,5,0.9
124,7/25/2026,8,471,5702,9,0.97
125,10/13/2026,9,486,1422,17,0.85
126,5/28/2025,9,288,5710,14,0.84
127,10/31/2025,7,136,5702,14,0.76
128,5/12/2025,5,154,5416,13,0.81
129,7/30/2025,7,258,4657,9,0.93
130,9/30/2025,7,386,4829,13,0.8
131,2/3/2025,7,126,5779,13,0.86
132,2/17/2025,9,261,3241,8,0.94
133,2/26/2025,9,62,3619,11,0.9
134,5/21/2026,5,403,655,13,0.94
135,10/12/2025,1,353,3251,10,0.81
136,6/30/2026,7,422,5687,14,0.9
137,9/18/2025,2,284,3037,15,0.87
138,10/14/2025,6,447,4272,13,0.88
139,12/4/2025,2,460,756,15,0.87
140,6/30/2026,10,350,5206,14,0.85
141,2/26/2025,6,367,4448,16,0.77
142,3/28/2025,6,131,1793,17,1
143,9/19/2026,6,123,1141,15,0.81
144,3/7/2025,2,102,4461,12,0.98
145,8/8/2026,5,285,3420,12,0.9
146,6/19/2025,5,418,5419,15,0.85
147,8/3/2025,6,221,1931,5,0.87
148,8/27/2025,2,441,2937,18,0.98
149,9/28/2025,7,135,4458,7,0.78
150,8/24/2026,3,318,4733,19,0.76
151,2/3/2026,6,27,3817,13,0.92
152,7/31/2025,6,344,3905,9,0.99
153,5/25/2025,10,151,4023,11,0.76
154,11/26/2025,6,486,2247,16,0.75
155,3/26/2025,2,387,2341,18,0.84
156,4/26/2025,2,498,707,6,0.95
157,10/19/2025,5,368,5456,6,0.89
158,3/9/2025,6,373,3924,6,0.83
159,12/11/2026,2,210,2937,13,0.95
160,3/23/2025,4,434,2732,16,0.86
161,9/17/2026,9,334,1965,14,0.94
162,12/3/2025,3,448,4891,18,0.93
163,12/4/2026,7,54,1678,15,0.81
164,12/11/2025,9,218,3056,17,0.89
165,11/8/2026,9,373,1704,19,0.9
166,11/22/2025,9,27,5303,16,0.94
167,1/12/2026,9,61,2349,7,0.97
168,3/3/2026,10,370,3605,12,0.85
169,10/31/2026,10,255,3975,5,1
170,9/24/2026,3,64,3324,16,0.96
171,3/5/2026,7,123,693,7,0.96
172,6/24/2025,2,408,621,16,0.87
173,8/27/2025,2,114,4178,17,0.93
174,4/13/2025,2,97,1187,15,0.9
175,4/20/2026,5,459,3861,14,0.82
176,8/1/2025,3,147,4579,8,0.99
177,12/13/2026,1,213,2726,8,0.84
178,3/14/2026,1,87,5480,5,0.82
179,12/14/2026,4,431,561,7,0.95
180,8/19/2025,3,208,994,14,0.82
181,4/12/2026,7,421,5588,9,0.85
182,7/16/2026,9,360,3673,6,0.76
183,3/12/2026,2,493,1491,9,0.86
184,11/17/2025,8,219,5510,19,0.98
185,9/6/2025,4,366,3926,10,0.87
186,8/18/2026,9,451,1592,5,0.99
187,8/29/2026,4,28,2175,16,0.86
188,5/31/2026,9,223,2253,17,0.89
189,5/3/2025,4,133,4445,11,0.87
190,4/3/2025,7,461,3268,12,0.91
191,3/21/2025,3,109,1559,16,0.99
192,3/28/2025,5,392,5925,9,0.76
193,9/4/2026,10,249,2403,6,0.88
194,12/20/2025,9,333,2524,11,0.93
195,8/25/2025,3,129,2753,6,0.98
196,8/28/2026,9,134,1402,5,0.91
197,10/25/2026,4,99,1326,7,0.75
198,12/28/2025,5,230,4748,12,1
199,12/27/2026,6,193,4860,5,0.75
200,12/1/2026,10,40,5292,15,0.81
201,9/28/2026,1,72,3442,13,0.89
202,9/27/2026,1,76,1727,8,0.94
203,4/6/2026,6,278,4895,7,0.78
204,8/5/2025,9,219,4348,7,0.91
205,12/13/2025,1,455,5070,19,0.78
206,9/20/2025,7,146,937,5,0.97
207,6/12/2026,4,144,2409,18,1
208,1/24/2025,7,115,2582,16,0.88
209,10/15/2026,4,481,5126,12,0.97
210,7/18/2025,10,419,1934,17,0.96
211,2/11/2026,2,320,1442,15,0.84
212,6/30/2026,2,183,1151,14,0.84
213,6/28/2026,2,260,4274,6,0.83
214,7/8/2025,1,174,3181,17,0.9
215,2/4/2025,9,220,5654,13,0.89
216,1/31/2026,7,371,2124,16,0.92
217,6/22/2025,10,491,4645,19,0.92
218,1/5/2026,6,364,2804,19,0.86
219,4/21/2026,10,61,2640,7,0.85
220,8/18/2026,6,212,1649,19,0.98
221,11/26/2026,1,297,2002,10,0.97
222,4/22/2026,1,105,5130,6,0.75
223,8/30/2025,5,339,944,18,0.88
224,12/7/2026,5,86,2009,10,0.81
225,2/18/2025,3,58,5418,6,0.84
226,9/15/2025,10,185,3490,12,0.81
227,9/10/2026,1,194,2128,5,0.84
228,12/25/2025,8,304,5945,19,0.88
229,10/14/2026,3,59,1254,7,1
230,6/8/2025,7,461,4042,8,0.88
231,5/19/2025,9,374,5309,11,0.88
232,8/16/2025,10,246,4621,16,0.88
233,5/24/2025,1,203,772,18,0.92
234,7/16/2025,4,192,5926,13,0.86
235,5/28/2026,7,28,4224,10,0.8
236,11/22/2025,9,159,5916,11,0.83
237,4/2/2025,3,371,1909,15,0.8
238,10/22/2026,1,30,707,11,0.85
239,2/5/2025,4,411,2291,13,0.79
240,9/12/2025,2,125,2382,5,0.98
241,7/21/2025,4,300,1032,13,0.87
242,3/24/2026,1,34,1606,16,0.94
243,10/5/2025,4,289,2911,17,0.88
244,2/14/2025,5,22,5839,15,0.93
245,10/18/2026,9,467,1397,19,0.89
246,5/28/2025,5,154,1134,8,0.95
247,11/23/2026,4,339,738,13,0.94
248,1/22/2026,2,308,4219,17,0.81
249,3/7/2026,5,162,5428,18,0.99
250,12/12/2025,7,392,3015,18,1
251,9/13/2025,9,482,5288,17,0.81
252,7/8/2025,3,95,1400,14,0.87
253,11/15/2026,5,402,1018,13,0.99
254,10/18/2026,3,294,2110,19,0.76
255,6/12/2025,3,212,4686,12,0.97
256,2/21/2025,1,224,679,6,1
257,8/7/2026,10,251,514,19,0.87
258,3/12/2025,3,343,5178,14,0.83
259,1/23/2025,10,309,2458,12,1
260,5/29/2025,4,314,5370,6,0.87
261,5/11/2026,5,46,1106,13,0.99
262,5/14/2025,9,182,1433,5,0.97
263,2/17/2025,10,172,5513,6,0.97
264,1/4/2025,2,354,5529,18,0.87
265,11/25/2026,1,495,4408,19,0.77
266,12/11/2026,9,134,3826,10,0.83
267,4/16/2025,3,380,5842,5,1
268,11/20/2025,7,441,5859,10,0.93
269,11/2/2025,8,363,2905,9,0.8
270,6/3/2025,8,25,4713,14,0.85
271,11/18/2026,8,351,5807,18,0.87
272,9/16/2025,5,82,1159,10,0.8
273,12/30/2026,9,142,4186,6,0.8
274,8/29/2026,2,23,670,12,0.76
275,10/31/2025,4,134,5284,7,0.98
276,10/20/2026,1,395,3029,9,0.79
277,3/19/2025,2,132,4273,16,0.79
278,6/7/2026,1,380,3043,12,0.94
279,1/3/2025,8,351,4054,12,0.94
280,2/26/2026,10,71,2473,9,0.83
281,5/5/2025,7,467,895,11,0.89
282,12/5/2026,1,231,3859,16,0.89
283,4/23/2025,8,73,862,18,0.89
284,5/14/2025,6,375,5215,6,0.95
285,6/2/2025,5,104,1271,8,0.92
286,10/25/2026,7,396,5840,18,0.9
287,5/15/2026,8,89,3693,10,0.76
288,4/23/2026,1,356,5319,9,0.76
289,4/25/2025,9,296,4061,10,0.78
290,4/18/2025,6,348,4312,10,0.76
291,11/26/2025,3,115,3107,8,0.83
292,5/14/2026,3,471,1038,5,0.9
293,4/25/2025,8,76,3010,8,0.96
294,1/17/2025,6,262,4677,14,0.9
295,11/16/2026,6,490,4923,10,0.84
296,9/12/2026,6,482,910,7,0.76
297,12/12/2026,4,267,5067,8,0.94
298,11/11/2025,3,292,3734,5,0.93
299,3/29/2026,10,256,5066,6,0.97
300,5/8/2025,1,99,515,12,0.81
301,5/6/2026,7,348,5567,16,0.84
302,6/8/2026,7,248,5816,9,0.99
303,4/1/2026,1,369,3327,12,0.95
304,12/20/2026,10,159,822,19,0.82
305,2/25/2025,8,293,2228,5,0.89
306,4/26/2026,5,157,2201,15,0.76
307,8/16/2026,3,378,2203,10,0.88
308,11/17/2025,6,107,2070,13,0.83
309,7/18/2026,10,70,4205,11,0.78
310,6/8/2025,6,235,5750,19,0.93
311,4/18/2026,2,431,5621,6,0.94
312,3/1/2025,7,87,4889,14,0.93
313,4/3/2025,6,352,5050,19,0.94
314,5/26/2026,5,270,2999,15,0.87
315,5/5/2025,7,111,1628,8,0.78
316,6/24/2026,5,198,1820,10,0.84
317,10/6/2025,2,333,859,15,0.93
318,9/11/2025,4,340,2033,16,0.83
319,11/1/2026,8,289,5741,12,0.97
320,11/22/2025,7,439,5138,12,0.94
321,12/29/2026,3,88,5645,9,0.95
322,10/30/2026,5,268,2849,12,0.96
323,3/26/2026,7,369,5446,12,0.78
324,8/29/2025,9,37,1186,10,0.8
325,5/8/2025,3,420,3400,17,0.93
326,2/10/2025,4,420,5333,13,0.99
327,12/22/2025,2,150,5265,5,0.81
328,11/17/2026,7,244,5461,16,0.9
329,8/18/2025,2,339,4283,19,0.95
330,7/19/2025,5,461,3045,7,0.77
331,1/3/2025,6,259,4185,15,0.88
332,11/13/2025,2,242,1266,12,0.89
333,8/1/2025,7,432,581,13,0.76
334,7/22/2026,4,384,5654,17,0.85
335,1/4/2026,3,336,4238,12,0.86
336,3/26/2026,8,317,1666,16,0.99
337,11/30/2026,7,491,1349,15,0.81
338,11/7/2026,8,122,521,19,0.88
339,6/17/2026,8,25,3168,12,0.9
340,2/10/2026,6,492,3377,5,0.87
341,1/26/2026,1,419,1577,5,0.99
342,6/21/2026,4,48,4146,19,0.78
343,2/8/2025,1,257,1937,6,0.86
344,1/28/2025,10,337,1239,18,0.87
345,9/10/2025,3,315,550,8,0.96
346,9/15/2026,1,44,1825,15,0.99
347,7/15/2026,10,484,1097,19,0.95
348,4/24/2026,5,285,3626,13,0.87
349,12/20/2025,1,437,2564,15,0.89
350,4/1/2026,3,265,2552,10,0.83
351,10/24/2026,4,494,3008,13,0.82
352,11/20/2026,10,395,4833,11,0.86
353,11/14/2026,1,38,961,9,0.94
354,2/11/2026,6,446,2846,6,0.84
355,1/7/2026,7,161,5795,19,0.86
356,11/20/2026,4,59,1823,17,0.81
357,1/16/2025,7,427,4677,19,0.77
358,4/16/2025,6,70,4061,11,0.76
359,6/29/2025,9,174,965,18,0.99
360,8/3/2026,1,399,2002,13,0.87
361,7/15/2025,4,109,5171,5,0.79
362,2/12/2026,8,158,5435,17,0.91
363,11/16/2026,8,498,2870,7,0.76
364,10/7/2025,10,300,3791,13,0.91
365,1/12/2026,3,227,4002,12,0.99
366,5/31/2025,7,405,5241,7,0.99
367,10/18/2025,4,302,3358,19,0.97
368,2/24/2025,2,377,603,9,0.97
369,7/25/2026,1,143,2717,13,0.99
370,1/19/2026,8,288,4360,15,0.85
371,1/7/2025,4,425,2592,15,0.81
372,12/7/2025,4,175,5901,6,0.97
373,1/11/2026,8,273,4161,14,0.77
374,5/26/2025,7,298,1427,14,0.81
375,12/21/2025,1,235,4982,9,0.99
376,7/22/2025,6,269,5111,11,0.78
377,2/11/2026,2,82,5007,15,0.93
378,6/15/2025,7,411,2360,17,0.97
379,5/1/2026,7,389,3397,18,0.94
380,7/31/2026,2,211,2576,10,0.89
381,5/13/2026,7,157,3724,8,0.81
382,12/13/2025,10,369,1201,9,0.9
383,10/17/2025,6,409,5685,16,0.78
384,12/19/2025,8,330,2946,8,0.88
385,12/7/2026,10,312,4909,14,0.87
386,4/1/2026,3,248,1797,11,0.77
387,8/29/2025,7,461,4259,13,0.93
388,5/15/2026,10,204,3085,5,0.87
389,4/6/2026,10,21,936,14,0.99
390,8/27/2025,8,64,1008,10,0.93
391,4/20/2026,3,285,641,10,0.79
392,10/15/2025,10,84,5130,16,0.98
393,3/17/2025,4,354,775,13,0.77
394,5/25/2026,8,20,2782,8,0.79
395,2/22/2026,6,85,895,18,0.99
396,8/31/2025,9,219,5309,16,0.76
397,5/15/2025,5,263,2960,11,1
398,5/29/2025,7,34,517,19,0.85
399,10/5/2025,10,200,5862,10,0.76
400,9/1/2025,7,321,2358,10,0.79
401,5/14/2025,6,149,3595,17,0.88
402,3/3/2025,10,208,3224,5,0.89
403,2/27/2026,1,107,1831,7,0.92
404,1/29/2025,7,426,5795,17,0.87
405,9/5/2025,3,101,3240,18,0.9
406,9/23/2025,6,420,2079,18,0.91
407,1/26/2025,1,386,752,19,0.78
408,6/25/2025,7,323,1466,14,0.86
409,10/2/2025,4,194,588,10,0.93
410,12/29/2025,7,68,548,8,0.86
411,4/30/2025,5,210,676,17,0.9
412,7/23/2026,7,226,4312,19,0.98
413,10/19/2025,4,261,4682,18,0.97
414,9/30/2025,1,490,5002,13,0.78
415,1/28/2025,5,382,2739,11,0.82
416,8/18/2025,2,100,5233,14,0.91
417,12/9/2025,10,83,5707,10,0.76
418,8/19/2026,9,155,2401,5,0.77
419,7/25/2026,8,423,2851,19,0.87
420,9/10/2025,5,241,4596,12,0.87
