Forecast_ID,Date,Department_ID,Expected_Workload_Hours,Expected_Projects,Expected_Revenue,Season,Demand_Level
1,7/2/2026,2,2384,18,356092,Q4,High
2,7/1/2025,1,2208,28,264924,Q1,Critical
3,2/17/2026,3,4451,18,167308,Q1,Medium
4,10/5/2025,6,538,49,235734,Q3,Critical
5,4/30/2026,3,2576,45,252506,Q4,Critical
6,9/27/2025,10,4536,17,391162,Q3,Low
7,1/12/2025,2,3453,20,333372,Q4,Medium
8,12/12/2026,5,2683,18,279259,Q2,Low
9,9/5/2025,1,3524,41,318683,Q3,Medium
10,3/31/2026,10,1334,23,270639,Q4,Medium
11,7/13/2025,7,2369,40,287810,Q3,Low
12,9/28/2026,3,1760,40,401561,Q2,Critical
13,1/9/2025,6,2241,23,397690,Q2,Medium
14,8/9/2025,8,2336,22,417801,Q2,Critical
15,6/8/2026,2,1848,9,121069,Q3,Low
16,12/2/2026,4,928,36,354472,Q1,High
17,5/13/2026,9,4166,18,223369,Q1,Low
18,10/12/2026,5,622,13,229509,Q4,High
19,7/13/2025,3,4252,47,213351,Q4,Critical
20,9/8/2025,6,4275,4,206443,Q2,High
21,3/16/2025,5,1148,28,324338,Q4,High
22,3/25/2025,1,1086,39,316347,Q1,Low
23,6/1/2025,7,4130,38,189635,Q3,Critical
24,9/28/2025,6,4565,35,89207,Q1,Critical
25,11/4/2026,2,515,31,481385,Q3,Medium
26,12/5/2026,10,2671,45,453093,Q3,Medium
27,3/26/2025,6,1591,8,404439,Q1,Low
28,4/26/2026,6,1096,41,109837,Q3,Medium
29,12/16/2025,4,2032,38,94459,Q4,Critical
30,5/17/2026,1,3873,13,249896,Q1,High
31,6/12/2026,9,4653,45,367907,Q4,Critical
32,2/19/2026,10,4794,29,247318,Q2,Medium
33,10/18/2025,9,3558,25,175118,Q2,Critical
34,1/8/2026,8,4041,43,313244,Q2,High
35,8/19/2026,8,4145,26,495876,Q4,Critical
36,7/23/2026,7,3580,46,155672,Q3,Medium
37,11/16/2025,5,3859,43,239019,Q1,Low
38,7/2/2025,10,1843,35,146687,Q2,Critical
39,7/1/2025,5,3244,26,306208,Q3,Critical
40,3/21/2025,2,2661,24,168014,Q4,High
41,12/2/2026,8,3143,21,428603,Q1,High
42,5/3/2026,4,672,30,71076,Q2,Critical
43,6/29/2026,5,4954,18,62901,Q2,Low
44,10/16/2026,7,2324,21,256132,Q3,High
45,11/11/2026,9,2185,47,111734,Q2,Critical
46,2/2/2026,1,4972,11,240683,Q1,Low
47,10/26/2025,7,2230,4,69706,Q2,Low
48,7/19/2026,9,1633,49,161301,Q1,Low
49,8/16/2025,2,2152,44,192144,Q1,Medium
50,9/13/2025,9,2213,1,235590,Q1,Low
51,1/15/2026,4,767,12,393165,Q2,Critical
52,11/4/2026,7,1465,23,424822,Q4,Low
53,6/5/2026,3,1201,35,375629,Q1,High
54,6/27/2026,8,1203,43,183332,Q4,High
55,11/25/2026,5,4887,11,416267,Q1,Low
56,2/5/2025,4,3773,33,315174,Q2,High
57,9/18/2026,3,1190,35,181608,Q1,Critical
58,11/26/2026,9,690,34,173873,Q2,Medium
59,12/30/2026,10,1583,22,366349,Q4,Critical
60,4/18/2025,6,2302,14,251064,Q4,High
61,8/6/2026,9,3508,32,316284,Q2,High
62,11/27/2026,2,3449,4,432781,Q3,Critical
63,9/7/2025,2,605,25,441103,Q1,High
64,5/14/2026,3,1920,43,60723,Q3,Critical
65,6/30/2025,1,547,27,312463,Q1,Critical
66,3/28/2025,7,1878,15,426388,Q4,Medium
67,12/13/2026,3,1898,29,456947,Q3,High
68,7/25/2026,6,1917,39,139190,Q4,High
69,10/25/2026,10,691,31,213825,Q1,Low
70,6/30/2026,5,2886,3,332709,Q2,Low
71,2/10/2026,5,2148,3,451235,Q2,Low
72,1/14/2026,10,4463,46,354301,Q1,Medium
73,6/22/2026,5,3469,8,121774,Q3,Critical
74,5/16/2025,7,2654,36,327725,Q4,High
75,10/2/2026,6,2487,48,441132,Q1,High
76,5/27/2025,4,1332,11,410000,Q1,Medium
77,10/23/2025,2,1883,26,138631,Q3,Medium
78,5/23/2026,8,3909,23,245152,Q2,Medium
79,6/11/2025,5,688,10,203166,Q4,Critical
80,2/16/2026,8,3841,17,144735,Q2,Medium
81,2/7/2025,6,4166,12,247942,Q2,Low
82,4/25/2026,3,4420,10,293166,Q1,Low
83,8/15/2025,3,560,24,385443,Q2,Medium
84,10/1/2025,2,973,25,370084,Q3,Medium
85,9/20/2025,1,3900,22,105585,Q2,Low
86,3/30/2026,1,640,18,70865,Q4,Low
87,5/8/2025,6,1614,24,309077,Q2,Medium
88,10/20/2026,2,2871,16,254719,Q3,Critical
89,11/16/2025,5,3917,25,449700,Q2,Critical
90,9/25/2026,9,1456,31,329949,Q3,Medium
91,6/9/2026,4,1334,41,272806,Q4,High
92,9/3/2025,8,3250,41,123497,Q4,Medium
93,4/1/2026,6,4443,36,343862,Q3,Critical
94,9/4/2026,3,3111,29,82067,Q3,High
95,4/28/2026,6,2194,12,424198,Q2,Low
96,5/4/2026,5,3716,1,372363,Q3,Low
97,8/9/2026,4,2400,28,391611,Q2,High
98,4/18/2026,10,4391,38,343352,Q1,Critical
99,12/14/2025,10,3769,44,103548,Q4,High
100,11/11/2025,6,4447,35,306333,Q4,Medium
101,9/17/2026,9,2568,41,497436,Q4,High
102,4/22/2026,8,3493,32,193684,Q1,High
103,9/13/2025,5,4843,7,171087,Q1,Medium
104,12/6/2025,3,815,11,258918,Q3,Critical
105,5/24/2025,9,2439,18,355771,Q3,Critical
106,11/29/2026,5,4062,2,176638,Q1,High
107,12/22/2026,5,2016,39,115259,Q2,Medium
108,4/19/2026,8,3834,2,473941,Q2,Medium
109,9/25/2025,2,1462,47,480869,Q1,Low
110,7/28/2026,10,3745,16,438741,Q4,Critical
111,10/22/2026,2,1535,21,76183,Q4,Medium
112,10/3/2026,6,818,44,176104,Q2,Critical
113,11/30/2026,9,3484,24,188108,Q2,Low
114,8/29/2025,8,2153,40,163178,Q2,Medium
115,11/2/2025,1,1380,27,71348,Q3,Low
116,7/22/2025,3,1334,23,445177,Q2,Medium
117,4/20/2026,6,2211,38,481283,Q3,Low
118,10/7/2026,6,1201,37,303148,Q1,Medium
119,5/29/2026,2,3074,34,111960,Q1,Medium
120,10/20/2025,4,4127,43,227383,Q1,Low
121,7/2/2025,5,4604,46,385403,Q1,High
